,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52,0,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
53,1,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
54,0,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
55,1,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
56,1,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
57,2,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
58,1,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
59,2,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
60,0,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
61,2,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
62,2,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
63,0,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
64,2,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
65,2,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
66,2,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
67,2,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
68,2,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
69,1,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
70,2,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
71,0,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
72,2,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
73,2,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
74,1,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
75,2,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
76,1,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
77,2,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
78,2,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
79,2,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
80,1,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
81,2,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
82,1,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
83,2,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
84,2,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
85,2,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
86,2,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
87,1,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
88,2,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
89,2,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
90,1,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
91,0,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
92,2,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
93,2,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
94,2,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
95,1,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
96,2,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
97,2,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
98,1,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
99,2,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
100,1,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
101,2,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
102,2,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
103,2,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
104,0,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
105,1,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
106,2,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
107,0,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
108,2,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
109,1,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
110,0,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
111,2,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
112,2,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
113,1,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
114,2,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
115,1,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
116,1,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
117,0,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
118,2,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
119,2,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
120,2,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
121,2,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
122,0,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
123,1,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
124,2,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
125,0,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
126,0,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
127,0,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
128,0,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
129,2,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
130,2,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
131,0,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
132,1,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
133,2,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
134,0,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
135,0,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
136,0,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
137,1,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
138,0,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
139,2,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
140,2,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
141,0,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
142,2,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
143,1,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
144,2,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
145,0,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
146,2,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
147,2,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
148,1,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
149,2,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
150,2,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
151,0,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
152,1,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
153,1,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
154,2,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
155,1,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
156,2,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
157,2,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
158,2,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
159,2,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
160,2,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
161,1,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
162,2,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
163,1,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
164,1,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
165,0,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
166,2,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
167,2,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
168,2,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
169,2,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
170,1,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
171,1,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
172,2,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
173,1,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
174,2,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
175,2,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
176,2,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
177,0,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
178,2,services,married,secondary,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
179,2,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
180,0,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
181,1,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
182,1,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
183,1,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
184,1,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
185,2,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
186,1,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
187,2,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
188,0,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
189,0,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
190,2,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
191,0,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
192,2,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
193,1,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
194,0,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
195,0,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
196,1,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
197,2,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
198,1,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
199,2,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
200,2,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
201,2,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
202,1,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
203,1,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
204,1,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
205,2,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
206,1,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
207,1,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
208,1,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
209,1,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
210,1,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
211,2,retired,married,secondary,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
212,2,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
213,1,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
214,2,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
215,1,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
216,2,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
217,2,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
218,2,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no
219,1,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
220,1,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
221,0,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
222,1,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
223,2,retired,married,secondary,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no
224,1,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no
225,2,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
226,2,management,married,unknown,no,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,no
227,0,management,single,tertiary,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
228,1,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
229,2,services,divorced,secondary,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
230,2,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,no
231,0,services,married,secondary,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
232,2,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
233,2,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
234,2,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
235,1,blue-collar,married,primary,no,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no
236,2,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,181,2,-1,0,unknown,no
237,1,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
238,1,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,no
239,2,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
240,2,technician,married,secondary,no,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
241,1,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
242,1,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
243,1,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
244,2,management,married,tertiary,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,no
245,1,management,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
246,0,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no
247,1,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
248,1,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
249,2,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
250,2,admin.,married,secondary,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no
251,2,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
252,0,services,single,secondary,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
253,0,technician,divorced,secondary,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,no
254,2,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
255,1,blue-collar,married,primary,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
256,2,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
257,0,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
258,1,services,married,secondary,no,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,no
259,1,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
260,2,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
261,0,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
262,1,technician,married,secondary,no,275,yes,no,unknown,5,may,132,1,-1,0,unknown,no
263,1,management,divorced,tertiary,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,no
264,1,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
265,0,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
266,1,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
267,1,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
268,1,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
269,1,blue-collar,married,primary,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
270,1,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
271,1,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
272,2,technician,married,secondary,no,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,no
273,2,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
274,1,admin.,married,secondary,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
275,2,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
276,1,services,divorced,secondary,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no
277,2,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
278,1,services,single,secondary,no,570,yes,no,unknown,5,may,75,2,-1,0,unknown,no
279,1,self-employed,married,tertiary,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,no
280,2,blue-collar,married,primary,no,61,yes,no,unknown,5,may,621,3,-1,0,unknown,no
281,1,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,55,2,-1,0,unknown,no
282,2,technician,married,tertiary,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,no
283,2,blue-collar,married,primary,no,76,yes,no,unknown,5,may,156,2,-1,0,unknown,no
284,0,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
285,0,admin.,single,secondary,no,352,yes,no,unknown,5,may,225,2,-1,0,unknown,no
286,2,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no
287,2,technician,single,tertiary,no,339,yes,no,unknown,5,may,2,3,-1,0,unknown,no
288,0,blue-collar,married,secondary,no,1331,yes,no,unknown,5,may,286,2,-1,0,unknown,no
289,1,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
290,1,management,married,tertiary,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,no
291,2,technician,single,unknown,no,447,yes,no,unknown,5,may,742,2,-1,0,unknown,no
292,0,student,single,secondary,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,no
293,2,management,married,tertiary,no,0,no,no,unknown,5,may,120,2,-1,0,unknown,no
294,0,technician,married,secondary,no,19,yes,no,unknown,5,may,362,4,-1,0,unknown,no
295,2,technician,divorced,primary,no,13,yes,no,unknown,5,may,357,2,-1,0,unknown,no
296,0,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
297,0,student,single,secondary,no,82,yes,no,unknown,5,may,204,2,-1,0,unknown,no
298,1,blue-collar,divorced,primary,no,28,yes,no,unknown,5,may,126,3,-1,0,unknown,no
